Order ID,Date,Time,date_time,Kiosk,Product,Qty,Subtotal,Unit Price_BD,Unit_Price_AD,Discount Applied,Total,COGS,Margin,Fridge Type,Promotion Label,,,,,,,,,,,
1588PXF2GN,9/5/19,11:45:59 AM,11:45:59 AM,Kronos,Pulled Buffalo Chicken Bowl,1,7.98,7.98,7.98,0,7.98,3.5,4.48,Byte,,,,,,,,,,,,
1590PXF2BS,9/5/19,11:43:04 AM,11:43:04 AM,GSV,Vegetarian Harvest Bowl,1,7.98,7.98,7.98,0,7.98,3,4.98,Byte,,,,,,,,,,,,
1584PXF277,9/5/19,11:40:19 AM,11:40:19 AM,Robins Kaplan,Love Corn,1,2.25,2.25,2.03,0.22,2.03,0,2.25,Byte,,,,,,,,,,,,
1584PXF266,9/5/19,11:39:42 AM,11:39:42 AM,Robins Kaplan,Pulled Buffalo Chicken Bowl,1,7.98,7.98,7.18,0.8,7.18,3.5,4.48,Byte,,,,,,,,,,,,
1590PXF1WO,9/5/19,11:34:00 AM,11:34:00 AM,GSV,Love Corn,1,2.25,2.25,2.25,0,2.25,0,2.25,Byte,,,,,,,,,,,,
1583PXEYRL,9/5/19,10:26:09 AM,10:26:09 AM,Lionbridge,Chicken Caesar Half Wrap,1,4.5,4.5,4.5,0,4.5,0,4.5,Byte,,,,,,,,,,,,
1590PXEVLY,9/5/19,9:17:58 AM,9:17:58 AM,GSV,Apple Cinnamon Overnight Oats,1,4.98,4.98,4.98,0,4.98,2,2.98,Byte,,,,,,,,,,,,
1590PXEUAL,9/5/19,8:49:33 AM,8:49:33 AM,GSV,Dark Chocolate Overnight Oats,1,4.98,4.98,4.98,0,4.98,1,3.98,Byte,,,,,,,,,,,,
1587PXESVI,9/5/19,8:18:54 AM,8:18:54 AM,Synergy,6AM Health Juice - Immune,1,5.98,5.98,5.98,0,5.98,0,5.98,Byte,,,,,,,,,,,,
1582PXDQB6,9/4/19,6:25:54 PM,6:25:54 PM,53 State,Pulled Buffalo Chicken Bowl,1,7.98,7.98,7.98,0,7.98,3.5,4.48,Byte,,,,,,,,,,,,
1589PXDORC,9/4/19,5:52:24 PM,5:52:24 PM,One Boston Place,Kombucha,1,4.49,4.49,3.37,1.12,3.37,0,4.49,Byte,,,,,,,,,,,,
1590PXDNHJ,9/4/19,5:24:55 PM,5:24:55 PM,GSV,6AM Health Juice - Immune,1,5.98,5.98,5.98,0,5.98,0,5.98,Byte,,,,,,,,,,,,
1590PXDNHJ,9/4/19,5:24:55 PM,5:24:55 PM,GSV,Buffalo Chicken Half Wrap,1,4.5,4.5,4.5,0,4.5,0,4.5,Byte,,,,,,,,,,,,
1585PXDMF7,9/4/19,5:01:55 PM,5:01:55 PM,One Financial Plaza,SmartSweets Gummy Bears,1,3.49,3.49,3.49,0,3.49,2.49,1,Byte,,,,,,,,,,,,
1588PXDLVK,9/4/19,4:50:08 PM,4:50:08 PM,Kronos,Almond Energy Bites,1,4.98,4.98,4.98,0,4.98,2,2.98,Byte,,,,,,,,,,,,
1588PXDLFF,9/4/19,4:40:27 PM,4:40:27 PM,Kronos,Lifeway Kefir,1,3.49,3.49,3.49,0,3.49,0,3.49,Byte,,,,,,,,,,,,
1588PXDL4G,9/4/19,4:33:52 PM,4:33:52 PM,Kronos,Pulled Buffalo Chicken,1,3.49,3.49,3.49,0,3.49,1.5,1.99,Byte,,,,,,,,,,,,
1583PXDJEP,9/4/19,3:56:49 PM,3:56:49 PM,Lionbridge,Chicken Caesar Half Wrap,1,4.5,4.5,4.5,0,4.5,0,4.5,Byte,,,,,,,,,,,,
